country,country_rank,inventor_name,patent_count
SY,1,Hessah Saud Al Sulatieen,1
TH,1,Thumrong Suphachadiwong,84
TH,2,Troy Thorup,12
TH,3,Philip Scott Lyren,9
TH,4,Kanachana Khemakongkanond,8
TH,5,Saravuth Sirinorakul,7
TH,5,Chalermsri Nontaswatsri,7
TN,1,Emna Guerfala,1
TR,1,Umit Cifter,3
TR,2,Turan Ozturk,2
TR,2,Selami Demirci,2
TR,2,Taha Demiroez,2
TR,2,Fikrettin SAHIN,2
TR,2,Fuat Burtan Arkan,2
TR,2,Aysegul DOGAN,2
TR,2,Alper Yegin,2
TR,2,Ali C. Begen,2
TR,2,Akif Ekin,2
TR,2,Yavuz Battal,2
TR,2,Özlem Toker,2
TR,2,Oguz Celikel,2
TR,2,Nazife Arabacioglu,2
TT,1,Mark E. Lee Lum,1
TT,1,Laurice Phillips,1
TT,1,Paul Edward Bowden,1
TT,1,Dolly Nicholas,1
TT,1,Duc The Kieu,1
TW,1,Chen-Hua Yu,53
TW,2,Yeong-Ming Chang,43
TW,3,Hsien-Wei Chen,35
TW,4,Wei-Yu Chen,32
TW,4,Kuo-Cheng Ching,32
TZ,1,William M. Henderson,2
TZ,2,Christine Brandsma,1
TZ,2,Torsten Doenhoff,1
UA,1,Dmytro Ivanchykhin,3
UA,2,Ievgen Mastierov,2
UA,3,Igor Oleksandrovych Ulyanov,1
UA,3,Iryna Bandura,1
UA,3,Dmytro Bekinin,1
UA,3,Ievgen Verzun,1
UA,3,Eugene Medvedenko,1
UA,3,Igor Ivanovich Kornienko,1
UA,3,Ievgen Krasichkov,1
UA,3,Ihor Korsun,1
UA,3,Iurii Kolomiichuk,1
UA,3,Gennadiy A. Voropayev,1
UA,3,Simonov Veniamin Serhiovych,1
UA,3,Volodymyr Diomydovych Ryzhikov,1
UA,3,Volodymyr Kopan,1
UA,3,Sergei Vyacheslavovich Naydenov,1
UA,3,Vladyslava Kovalska,1
UA,3,Sergii Kurstak,1
UA,3,Sergiy M. Yarmoluk,1
UA,3,Vitold Khvostov,1
UA,3,Vasyl Molebny,1
UA,3,Valerii Nebesnyi,1
UA,3,Viktor Babkov,1
UA,3,Taras Hrabovenskyy,1
UA,3,Sergii Nechuiviter,1
UA,3,Sergii Samchuk,1
UA,3,Serdyuk Serhiy Mykolayovych,1
UA,3,Oleg Puzanov,1
UA,3,Oleksii Korbachevskyi,1
UA,3,Oleksandr Balakin,1
UA,3,Olga Nikolaevna Sizonenko,1
UA,3,Oleh Hordiichuk,1
UA,3,Oleg Medvedev,1
UA,3,Oleksandr Galaka,1
UA,3,Oleksii Chvala,1
UA,3,Roman Davydovskiy,1
UA,3,Osypov Oleksii Serhiovych,1
UA,3,Oleksandr Holub,1
UA,3,Oleksandr SHCHUR,1
UA,3,Petro Shegedin,1
UA,3,Oleh Derevenko,1
UA,3,Mykhaylo Losytskyy,1
UA,3,Yuri Shovkoplias,1
UA,3,Yurii Snisarenko,1
UA,3,Yurii Yenko,1
UA,3,Andrii Fesenko,1
UA,3,Andrii Skriabin,1
UA,3,Boris Ivanovich Pavlyk,1
UA,3,Abdallah Nail Ahmad Amin,1
UA,3,Andriy Yarosh,1
UA,3,Boris Viktorovich Grynyov,1
UA,3,Anatoliy Balanda,1
UA,3,Anatoliy Anatolievich Novikov,1
UA,3,Alexander Ivanovich Vovchenko,1
UA,3,Andriy Sibirny,1
UA,3,Alexander Klochko,1
UA,3,Andriy Ryshtun,1
UA,3,Kateryna Volkova,1
UA,3,Kostyantyn Hlushchenko,1
UA,3,Kostyantyn Milshteyn,1
UA,3,Kostyantyn Dmytruk,1
UA,3,Marta Semkiv,1
UG,1,Akira Sakamoto,11
UG,2,Hiroshi Shibata,5
UG,3,Haruyuki Nishijima,4
UG,3,Masaki Ninoyu,4
UG,5,Masashi Yamasaki,3
UG,5,Makoto Taniguchi,3
unknown,1,Hiromasa Yamauchi,4
US,1,Hans A Hansen,573
US,2,Cornelis P. VandenBerg,434
US,3,Gary Neil Zaiger,395
US,4,Grant Gene Zaiger,391
US,5,Leith Marie Gardner,374
UY,1,Federico Bana Mullin,1
UY,1,Ignacio Carrera,1
UY,1,Jaime Boxer,1
UY,1,Fabian Silva,1
UY,1,Fernando Goni,1
UY,1,Gonzalo Ferreira de Mattos,1
UY,1,Esteban Vicente,1
UY,1,Ruben Garcia Marroche,1
UY,1,Matías González,1
UY,1,Natalia Munoz,1
UY,1,Rosina Dapueto,1
UY,1,Carlos Batthyány,1
UY,1,Carlos Escande,1
UY,1,Ariel Manzzioni,1
UY,1,Andres Bianco de Olea,1
UY,1,Daniel Drexler,1
UY,1,Ana Arruabarrena,1
UY,1,Alberto Fernandez Dell'Oca,1
UY,1,Marisa Pedemonte Benvenuto,1
UY,1,Joanna Lado,1
UY,1,Mario Giambiasi,1
UY,1,Jorge Rodriguez Duarte,1
UY,1,Jose Alejandro Chabalgoity,1
UZ,1,Nariman Gulyamov,3
VE,1,Hazim H. Abass,3
VE,2,Francisco Gomez,2
VE,3,Giancarlo Gagliardoni,1
VE,3,Pierre Schmidt,1
VE,3,Pedro José Puccini,1
VE,3,Joseph P. Bailey,1
VE,3,Andres Miguel Quesada Perez,1
VE,3,Alonso P. Rodriguez,1
VG,1,Dimitry Streshinskiy,1
VN,1,Pham Ngoc Hung,4
VN,1,Le Tuan Anh,4
VN,3,Huynh Van Chanh,3
VN,3,Chia-Yi Wu,3
VN,3,Cong Nguyen,3
VN,3,Thi Nguyen Ngoc,3
VN,3,Tran Thi Oanh Yen,3
VN,3,Quang Nguyen,3
VN,3,Nguyen Nhat Truong,3
VU,1,Charles W. Kraut,2
VU,2,Milton C. Kintzley,1
YE,1,Mahmood M. S. Abdullah,2
YE,2,Fathi M. Abdullah,1
YE,2,Adel Almorshedi,1
YE,2,Tawfik Abdo Saleh Awadh,1
ZA,1,Quinton Bean,26
ZA,2,Charles Andrew de Wet,19
ZA,3,Richard Jamieson,7
ZA,4,Riana Kleynhans,6
ZA,5,Gert Johannes Brits,5
ZW,1,Mark A. Coleman,1
ZW,1,Frederick Alexander,1
